"QNA_ACCOUNT","Account","QNA_INDICATOR","Indicator","QNA_BRANCH","Industry breakdown","QNA_PRICE","Price type and unit","QNA_ADJ","Adjustment","FREQUENCY","Frequency","TIME","Time","Value","Flag Codes","Flags"
"1","Gross value added by industry","B1GM","Gross domestic product ","VZ","Total economy","V","Current prices in millions of euro","N","Gross data","Q","Quarterly","2022-Q1","2022Q1",131208,"P","Provisional"
"1","Gross value added by industry","B1GM","Gross domestic product ","VZ","Total economy","V","Current prices in millions of euro","N","Gross data","Q","Quarterly","2022-Q2","2022Q2",137784,"P","Provisional"
"1","Gross value added by industry","B1GM","Gross domestic product ","VZ","Total economy","V","Current prices in millions of euro","N","Gross data","Q","Quarterly","2019-Q3","2019Q3",116267,,
"1","Gross value added by industry","B1GM","Gross domestic product ","VZ","Total economy","V","Current prices in millions of euro","N","Gross data","Q","Quarterly","2019-Q4","2019Q4",127790,,
"1","Gross value added by industry","B1GM","Gross domestic product ","VZ","Total economy","V","Current prices in millions of euro","N","Gross data","Q","Quarterly","2020-Q4","2020Q4",124163,"P","Provisional"
"1","Gross value added by industry","B1GM","Gross domestic product ","VZ","Total economy","V","Current prices in millions of euro","N","Gross data","Q","Quarterly","2021-Q4","2021Q4",136676,"P","Provisional"
"1","Gross value added by industry","B1GM","Gross domestic product ","VZ","Total economy","V","Current prices in millions of euro","N","Gross data","Q","Quarterly","2022-Q4","2022Q4",146604,"P","Provisional"
"1","Gross value added by industry","B1GM","Gross domestic product ","VZ","Total economy","L","Chained 2015 euros (in millions of euro)","Y","Working day and seasonally adjusted","A","Annual","2019","2019",446374.3,,
"1","Gross value added by industry","B1GM","Gross domestic product ","VZ","Total economy","L","Chained 2015 euros (in millions of euro)","Y","Working day and seasonally adjusted","A","Annual","2020","2020",422436.6,"P","Provisional"
"1","Gross value added by industry","B1GM","Gross domestic product ","VZ","Total economy","L","Chained 2015 euros (in millions of euro)","Y","Working day and seasonally adjusted","A","Annual","2021","2021",448991.2,"P","Provisional"
"1","Gross value added by industry","B1GM","Gross domestic product ","VZ","Total economy","L","Chained 2015 euros (in millions of euro)","Y","Working day and seasonally adjusted","A","Annual","2022","2022",463573.6,"P","Provisional"
